building_id;meter;timestamp;meter_reading
291;0;42370;125.88
292;0;42370;136.8
293;0;42370;624.62
294;0;42370;59.29
295;0;42370;27.7
296;0;42370;37.04
297;0;42370;71.14
298;0;42370;17.04
301;0;42370;47.92
302;0;42370;29.53
303;0;42370;15.86
304;0;42370;0.17
305;0;42370;36.37
306;0;42370;59.49
307;0;42370;14.12
308;0;42370;10.91
309;0;42370;1.6
310;0;42370;21.4
311;0;42370;33.33
312;0;42370;9.88
313;0;42370;107.44
314;0;42370;3.4
315;0;42370;17.06
316;0;42370;18.88
317;0;42370;18.26
318;0;42370;168.29
319;0;42370;20.25
320;0;42370;109.04
321;0;42370;23.67
322;0;42370;25.19
323;0;42370;366.0
324;0;42370;15.93
325;0;42370;31.66
326;0;42370;36.63
327;0;42370;128.1
328;0;42370;22.45
329;0;42370;1.04
330;0;42370;57.32
331;0;42370;449.42
332;0;42370;343.99
333;0;42370;41.6
334;0;42370;33.92
335;0;42370;386.11
336;0;42370;14.27
337;0;42370;103.97
338;0;42370;103.42
339;0;42370;14.41
340;0;42370;9.39
341;0;42370;134.98
342;0;42370;15.64
343;0;42370;19.9
344;0;42370;82.7
345;0;42370;1.84
346;0;42370;34.01
347;0;42370;92.58
348;0;42370;15.17
349;0;42370;85.08
350;0;42370;136.45
351;0;42370;34.26
352;0;42370;214.26
353;0;42370;96.83
354;0;42370;26.87
355;0;42370;150.58
356;0;42370;1.16
357;0;42370;0.8
358;0;42370;54.06
359;0;42370;4.01
360;0;42370;46.07
361;0;42370;21.85
362;0;42370;6.56
363;0;42370;32.05
364;0;42370;112.74
365;0;42370;1139.52
366;0;42370;17.93
367;0;42370;48.66
368;0;42370;39.51
369;0;42370;13.04
370;0;42370;16.97
371;0;42370;3.89
372;0;42370;30.73
373;0;42370;73.65
374;0;42370;232.36
375;0;42370;1701.7
376;0;42370;675.84
377;0;42370;7.55
378;0;42370;32.92
379;0;42370;8.72
380;0;42370;57.68
381;0;42370;8.66
382;0;42370;46.19
383;0;42370;19.41
384;0;42370;16.85
385;0;42370;21.98
386;0;42370;43.7
387;0;42370;76.47
388;0;42370;35.35
389;0;42370;66.61
390;0;42370;56.84
391;0;42370;66.82
392;0;42370;57.21
393;0;42370;24.37
394;0;42370;17.64
395;0;42370;14.15
396;0;42370;24.72
397;0;42370;50.78
398;0;42370;47.09
399;0;42370;73.41
400;0;42370;22.23
401;0;42370;20.42
402;0;42370;5.33
404;0;42370;152.01
405;0;42370;53.43
406;0;42370;12.72
407;0;42370;567.13
408;0;42370;9.33
409;0;42370;114.5
410;0;42370;41.75
411;0;42370;12.0
412;0;42370;47.11
413;0;42370;7.02
414;0;42370;30.12
415;0;42370;17.25
416;0;42370;10.62
417;0;42370;86.71
418;0;42370;53.52
419;0;42370;89.36
420;0;42370;270.63
421;0;42370;34.13
422;0;42370;4.98
423;0;42370;1.96
424;0;42370;14.84
425;0;42370;117.54
426;0;42370;80.15
427;0;42370;18.21
428;0;42370;3.69
429;0;42370;14.3
430;0;42370;35.82
431;0;42370;12.32
432;0;42370;217.04
433;0;42370;68.34
434;0;42370;4.15
435;0;42370;41.56
436;0;42370;12.31
437;0;42370;107.15
438;0;42370;87.0
439;0;42370;55.93
440;0;42370;53.19
441;0;42370;27.7
442;0;42370;54.49
443;0;42370;68.96
444;0;42370;15.49
445;0;42370;102.92
446;0;42370;194.15
447;0;42370;21.92
448;0;42370;670.65
449;0;42370;13.64
450;0;42370;60.63
451;0;42370;7.34
452;0;42370;82.64
453;0;42370;17.1
454;0;42370;29.32
455;0;42370;10.6
456;0;42370;15.24
457;0;42370;91.63
458;0;42370;15.87
459;0;42370;72.04
460;0;42370;17.39
461;0;42370;91.11
462;0;42370;10.76
463;0;42370;12.45
464;0;42370;17.01
465;0;42370;26.26
466;0;42370;14.59
467;0;42370;127.02
468;0;42370;32.76
469;0;42370;23.14
470;0;42370;12.28
471;0;42370;124.24
